Mix_ID;Cement;Water;NCA;NFA;RCA_P;MRCA_P;RFA_P;Silica_Fume;Fly_Ash;RHA_P;Nylon_Fiber;Fiber_Type;SP;W_C;Agg_Size;Slump;Density;CS_7;CS_28;CS_90;STS;FS;EM;Water_Abs;UPV;Shrinkage;Carb_Depth;Cl_Perm;CO2;Energy;Cost;ACV;Sp_Gravity;Sustainability;Is_Synthetic
Synthetic_Mix_12;416;166.4;26.4;705.5;97.3;0;0;0;23.5;0;0;0;2.16;0.379;17.4;61.7;2400;0;38.16;0;0.94;4.02;29.03;0;4154;0;0;0;359.01;0;54.41;0;0;0.0004;1
Synthetic_Mix_13;326.6;134.4;85.1;192.8;87.3;0;3.7;0;0;0;0;0;1.21;0.412;5.4;47.3;2400;0;35.32;15.6;1.4;1.8;27.93;1.5;4083;0;0;0;279.85;0;38.07;0;0.56;0.0006;1
Synthetic_Mix_14;342.3;165.6;419.6;739;55;0;6;0;31.1;0;0;0;1.6;0.443;14.6;35.6;2400;0;33.02;0;3.16;1;27.01;0;4026;0;0;0;298.18;0;52.73;0;0;0.0004;1
Synthetic_Mix_15;312;181;0;890;88;0;0;0;0;0;0;0;0;0.58;19.2;2;1119.2;0;28.27;0;2.92;3.46;24.99;0;3907;0;0;0;269.65;0;41.88;0;0;0.0005;1
Synthetic_Mix_16;336.5;160;417.8;771.5;58.8;0;0;0;0;0;0;0;0;0.475;15.8;7.9;1051.8;0;30.33;0;1.5;3.58;25.88;0;3958;0;0;0;291.97;0;49.18;0;0;0.0004;1
Synthetic_Mix_17;326.5;158;896.7;719.8;11.7;0;0;0;0;0;0;0;1;0.484;14.7;0;2382.4;2.1;30.13;0;0.29;3.57;25.8;0;3953;0;0;0;286.31;0;56.24;0;0;0.0003;1
Synthetic_Mix_18;255.4;151.7;35.7;801.4;92.6;0;0;0;30.8;0;0;0;2.15;0.53;17.4;32.7;2400;0;24.46;0;0.67;3.21;23.24;0;3812;0;0;0;223.09;0;39.84;0;0;0.0005;1
Synthetic_Mix_19;431.2;166.4;904.3;644;10;0;0;0;0;0;0;0;1.7;0.386;15.4;157;1650.1;0;39.38;0;0.27;2.1;29.49;0;4184;0;0;0;375.45;0;66.96;0;0;0.0003;1
Synthetic_Mix_20;402.7;211.5;750.6;739.7;25;0;0;15.9;0;0;0;0;0;0.505;20;22.5;2362.5;0;31.12;0;0.59;3.63;26.22;0;3978;0;0;0;350.06;0;64.38;0;0;0.0002;1
Synthetic_Mix_21;348.6;183;0;601.7;100;0;0;0;0;0;0;0;0;0.525;20;3.9;1146.4;0;25.04;0;2.75;3.25;23.52;0;3826;0;0;0;299.32;0;42.08;0;0;0.0004;1
Synthetic_Mix_22;254.1;194.2;60.1;848.2;93.4;0;0;0;60.4;0;0;0;3.52;0.617;15.1;100.2;2400;0;21.05;0;2.52;2.98;21.56;0;3726;0;0;0;223.59;0;43.58;0;0;0.0004;1
Synthetic_Mix_23;380.1;185;854.4;669.9;25.1;0;0;0;0;0;0;0;1.5;0.487;19.2;30.2;1685.2;0;46.54;0;3.75;4.43;32.06;0;4364;0;0;0;331.76;0;61.11;0;0;0.0004;1
Synthetic_Mix_24;380;152;753.1;750;24.7;0;0;0;0;0;0;0;1;0.4;19.2;0;2362.9;0;43.39;0;3.62;4.28;30.96;0;4285;0;0;0;331.22;0;59.8;0;0;0.0004;1
Synthetic_Mix_25;417.4;179.9;41.9;748.2;95.7;0;0;0;0;0;0;0;0.12;0.431;19.6;17.2;2400;0;45.24;0;0.25;4.37;31.61;0;4331;0;0;0;358.82;0;51.53;0;0;0.0004;1
Synthetic_Mix_26;450;235;123.8;829;80.3;0;0;0;0;0;0;0;0;0.522;20;0;2279.6;0;25.65;0;2.79;3.29;23.8;0;3841;0;0;0;387.26;0;56.8;0;0;0.0002;1
Synthetic_Mix_27;341.2;170;467.5;745;54;0;0;0;0;1.13;0;0;2.57;0.498;9.2;0;2319;8.2;30.52;0;1.43;1.61;10.78;0;3963;0;0;0;297.88;0;53.93;0;0;0.0003;1
Synthetic_Mix_28;318.5;190.5;372.4;858.9;46;0;0;0;0;0;0;0;1.52;0.598;19.8;172.9;1015.1;0;20.17;0;2.47;2.92;21.11;0;3704;0;0;0;277.95;0;50.02;0;0;0.0003;1
